60.Çekiliş 	13 	20 	25 	28 	31 	35 		4 	2 			3 	3 		22 		152 	
61.Çekiliş 	11 	14 	20 	27 	37 	38 		3 	3 			3 	3 		27 		147 	
62.Çekiliş 	5 	9 	12 	16 	26 	37 		3 	3 			4 	2 		32 		105 	
63.Çekiliş 	7 	14 	19 	34 	41 	42 		3 	3 			3 	3 		35 		157 	
64.Çekiliş 	3 	8 	11 	30 	40 	44 		2 	4 			3 	3 		41 		136 	
65.Çekiliş 	2 	7 	27 	41 	42 	45 		4 	2 			2 	4 		43 		164 	
66.Çekiliş 	19 	23 	28 	30 	39 	45 		4 	2 			2 	4 		26 		184 	
67.Çekiliş 	10 	18 	27 	35 	38 	49 		3 	3 			2 	4 		39 		177 	
68.Çekiliş 	11 	16 	27 	35 	38 	49 		4 	2 			2 	4 		38 		176 	
69.Çekiliş 	3 	8 	15 	35 	40 	49 		4 	2 			3 	3 		46 		150 	
70.Çekiliş 	12 	16 	23 	36 	43 	49 		3 	3 			3 	3 		37 		179 	
71.Çekiliş 	2 	7 	16 	24 	25 	36 		2 	4 			5 	1 		34 		110 	
72.Çekiliş 	6 	8 	9 	20 	25 	34 		2 	4 			5 	1 		28 		102 	
73.Çekiliş 	1 	4 	15 	33 	39 	42 		4 	2 			3 	3 		41 		134 	
74.Çekiliş 	2 	8 	14 	17 	20 	38 		1 	5 			5 	1 		36 		99 	
75.Çekiliş 	1 	20 	22 	35 	39 	47 		4 	2 			3 	3 		46 		164 	
76.Çekiliş 	4 	13 	20 	34 	44 	48 		1 	5 			3 	3 		44 		163 	
77.Çekiliş 	6 	10 	18 	28 	29 	30 		1 	5 			3 	3 		24 		121 	
78.Çekiliş 	5 	9 	20 	28 	35 	40 		3 	3 			3 	3 		35 		137 	
79.Çekiliş 	13 	16 	28 	29 	39 	46 		3 	3 			2 	4 		33 		171 	
80.Çekiliş 	8 	15 	17 	35 	36 	44 		3 	3 			3 	3 		36 		155 	
81.Çekiliş 	9 	11 	12 	13 	37 	47 		5 	1 			4 	2 		38 		129 	
82.Çekiliş 	2 	7 	16 	17 	27 	29 		4 	2 			4 	2 		27 		98 	
83.Çekiliş 	1 	4 	17 	20 	23 	43 		4 	2 			5 	1 		42 		108 	
84.Çekiliş 	6 	16 	26 	44 	46 	48 		0 	6 			2 	4 		42 		186 	
85.Çekiliş 	11 	15 	33 	40 	45 	48 		4 	2 			2 	4 		37 		192 	
86.Çekiliş 	9 	14 	16 	22 	27 	48 		2 	4 			4 	2 		39 		136 	
87.Çekiliş 	20 	22 	24 	29 	34 	41 		2 	4 			3 	3 		21 		170 	
88.Çekiliş 	2 	3 	13 	19 	22 	37 		4 	2 			5 	1 		35 		96 	
