Karacabey;0;40.12;28.21
Karacasu;0;37.43;28.35
Karaman;0;37.14;33.13
Karayazi;0;39.41;42.09
Kars;0;40.40;43.05
Kastamonu;0;41.25;33.43
Kayseri;0;38.45;35.30
Keban;0;38.50;38.50
Keban Baraji;0;38.41;38.33
Kelkit;0;40.45;36.32
Kemah;0;39.32;39.05
Kesan;0;40.49;26.38
Kharta;0;40.55;29.07
Kigzi;0;38.18;43.25
Kilis;0;36.42;37.06
Kinik;0;39.06;27.24
Kirikkale;0;39.51;33.32
Kirklareli;0;41.44;27.15
Kirsehir;0;39.14;34.05
Kizil Irmak;0;41.44;35.58
Kiziltepe;0;37.12;40.35
Kocaeli;0;40.45;29.50
Konya;0;37.52;32.35
Koycegiz;0;36.57;28.40
Kozan;0;37.26;35.50
Kula;0;38.32;28.40
Kurucay;0;39.39;38.29
Kus Golu;0;40.10;27.55
Kusadasi;0;37.52;27.15
Kutahya;0;39.30;30.02
Kuzey Anadolu Daglari;0;41.30;35.00
Lapseki;0;40.20;26.41
Luleburgaz;0;41.23;27.22
Lydia;0;38.48;28.19
Malatya;0;38.25;38.20
Malazgirt;0;39.10;42.33
Malkara;0;40.53;26.53
Manisa;0;38.38;27.30
Maras / KahraManMaras;0;37.37;36.53
Mardin;0;37.20;40.43
MeneMen;0;38.34;27.03
Mersin;0;36.21;34.36
Midyat;0;37.25;41.23
Milas;0;37.20;27.50
Miletus;0;37.30;27.18
Mirtag;0;38.23;41.56
Mudanya ;0;40.25;28.50
Mugla ;0;37.15;28.22
Murat;0;38.46;40.0
Murati;0;41.10;27.29
Mus;0;38.45;41.30
Mustafakemalpasa;0;40.02;28.24
Mut;0;36.40;33.28
Mysia ;0;39.50;27.0
Nazilli;0;37.55;28.15
Nevsehir;0;38.33;34.40
Nigde;0;37.58;34.40
Nizip ;0;37.05;37.50
Nusaybin;0;37.03;41.10
Odemis;0;38.15;28.0
Olympus Mt / Uludag;0;40.04;29.13
Ordu;0;40.55;37.53
Oren ;0;37.03;27.57
Orhaneli;0;39.54;28.59
Orhangazi;0;40.29;29.18
Ortaca;0;36.49;28.45
Osmaniye;0;37.05;36.10
Palu ;0;38.45;40.0
Pinarhisar ;0;41.37;27.30
Pontine Mts / Kuzey Anadolu Daglari ;0;41.30;35.0
Resadiye / Datca, ;0;36.46;27.40
Rize;0;41.0;40.30
Samsun;0;41.15;36.22
Sanliurfa;0;37.12;38.50
Saray ;0;41.26;27.55
Saraykoy;0;37.55;28.54
Sardis;0;38.28;28.2
Sarigol;0;38.14;28.41
Saros Korfezi;0;40.30;26.15
Savur;0;37.34;40.53
Sebinkarahisar;0;40.22;38.28
seferihisar;0;38.10;26.50
Selcuk;0;37.56;27.22
Silifke;0;36.22;33.58
Silvri;0;41.4;28.14
simav;0;39.4;28.58
Sinop;30;42.1;35.11
Sivas;0;39.43;36.58
Siverek;0;37.50;39.19
Sivrihisar;0;39.30;31.35
Soke;0;37.48;27.28
Soma;0;39.10;27.35
Suphan Dagi;0;38.54;42.48
Tarsus;0;36.58;34.55
Tatvan;0;38.31;42.15
Thrace;0;41.0;27.0
Tokat;0;40.15;36.30
Torbali;0;38.10;27.21
Trabzon;0;41.0;39.45
Troy ;0;39.57;26.12
Turgutlu;0;38.30;27.43
Tuz Golu;0;38.42;33.18
Ulubat Golu;0;40.9;28.35
Uludag;0;40.4;29.13
Uzunkorpru;0;41.16;26.43
Van ;0;38.30;43.20
Van L. / Vanm Golu;0;38.30;43.0
Van Golu;0;38.30;43.0
Viranansehir;0;37.13;39.45
Vize;0;41.34;27.45
Yalova;0;40.41;29.15
Yatgan;0;37.20;28.10
Yenice;0;39.55;27.17
Yozgat;0;39.51;34.47
Zara ;0;39.58;37.43
